game_id,season,gameType,awayTeam.id,awayTeam.abbrev,homeTeam.id,homeTeam.abbrev,homeTeam.placeName.default,awayTeam.placeName.default,awayTeam.score,homeTeam.score,winningGoalScorer.playerId,winningGoalie.playerId,gameState,link,game_date_time,start_time,game_date
2024020001,20242025,2,1,NJD,7,BUF,Buffalo,New Jersey,4,1,8480192,8474593,OFF,https://api-web.nhle.com/v1/gamecenter/2024020001/play-by-play,2024-10-04 17:00:00+00:00,5:00 pm,2024-10-04
2024020002,20242025,2,7,BUF,1,NJD,New Jersey,Buffalo,1,3,8481032,8474596,OFF,https://api-web.nhle.com/v1/gamecenter/2024020002/play-by-play,2024-10-05 14:00:00+00:00,2:00 pm,2024-10-05
2024020003,20242025,2,19,STL,55,SEA,Seattle,St. Louis,3,2,8479385,8476412,OFF,https://api-web.nhle.com/v1/gamecenter/2024020003/play-by-play,2024-10-08 20:30:00+00:00,8:30 pm,2024-10-08
2024020004,20242025,2,6,BOS,13,FLA,Florida,Boston,4,6,8479981,8475683,OFF,https://api-web.nhle.com/v1/gamecenter/2024020004/play-by-play,2024-10-08 23:00:00+00:00,11:00 pm,2024-10-08
2024020005,20242025,2,16,CHI,59,UTA,Utah,Chicago,2,5,8480849,8478971,OFF,https://api-web.nhle.com/v1/gamecenter/2024020005/play-by-play,2024-10-09 02:00:00+00:00,2:00 am,2024-10-09
2024020006,20242025,2,10,TOR,8,MTL,Montréal,Toronto,0,1,8481540,8478470,OFF,https://api-web.nhle.com/v1/gamecenter/2024020006/play-by-play,2024-10-09 23:00:00+00:00,11:00 pm,2024-10-09
2024020007,20242025,2,3,NYR,5,PIT,Pittsburgh,New York,6,0,8475842,8478048,OFF,https://api-web.nhle.com/v1/gamecenter/2024020007/play-by-play,2024-10-09 23:30:00+00:00,11:30 pm,2024-10-09
2024020008,20242025,2,52,WPG,22,EDM,Edmonton,Winnipeg,6,0,8476392,8476945,OFF,https://api-web.nhle.com/v1/gamecenter/2024020008/play-by-play,2024-10-10 02:00:00+00:00,2:00 am,2024-10-10
2024020009,20242025,2,20,CGY,23,VAN,Vancouver,Calgary,6,5,8482074,8478435,OFF,https://api-web.nhle.com/v1/gamecenter/2024020009/play-by-play,2024-10-10 02:00:00+00:00,2:00 am,2024-10-10
2024020010,20242025,2,21,COL,54,VGK,Vegas,Colorado,4,8,8478109,8478499,OFF,https://api-web.nhle.com/v1/gamecenter/2024020010/play-by-play,2024-10-10 02:00:00+00:00,2:00 am,2024-10-10
2024020011,20242025,2,8,MTL,6,BOS,Boston,Montréal,4,6,8481043,8480280,OFF,https://api-web.nhle.com/v1/gamecenter/2024020011/play-by-play,2024-10-10 23:00:00+00:00,11:00 pm,2024-10-10
2024020012,20242025,2,26,LAK,7,BUF,Buffalo,Los Angeles,3,1,8471685,8475311,OFF,https://api-web.nhle.com/v1/gamecenter/2024020012/play-by-play,2024-10-10 23:00:00+00:00,11:00 pm,2024-10-10
2024020013,20242025,2,13,FLA,9,OTT,Ottawa,Florida,1,3,8481596,8476999,OFF,https://api-web.nhle.com/v1/gamecenter/2024020013/play-by-play,2024-10-10 23:00:00+00:00,11:00 pm,2024-10-10
2024020014,20242025,2,5,PIT,17,DET,Detroit,Pittsburgh,6,3,8477969,8482446,OFF,https://api-web.nhle.com/v1/gamecenter/2024020014/play-by-play,2024-10-11 00:00:00+00:00,12:00 am,2024-10-11
2024020015,20242025,2,10,TOR,1,NJD,New Jersey,Toronto,4,2,8478904,8483710,OFF,https://api-web.nhle.com/v1/gamecenter/2024020015/play-by-play,2024-10-10 23:00:00+00:00,11:00 pm,2024-10-10
2024020016,20242025,2,59,UTA,2,NYI,New York,Utah,5,4,8482699,8478971,OFF,https://api-web.nhle.com/v1/gamecenter/2024020016/play-by-play,2024-10-10 23:30:00+00:00,11:30 pm,2024-10-10
2024020017,20242025,2,25,DAL,18,NSH,Nashville,Dallas,4,3,8478975,8479979,OFF,https://api-web.nhle.com/v1/gamecenter/2024020017/play-by-play,2024-10-11 00:00:00+00:00,12:00 am,2024-10-11
