conferenceHomeSequence,conferenceL10Sequence,conferenceRoadSequence,conferenceSequence,date,divisionAbbrev,divisionHomeSequence,divisionL10Sequence,divisionName,divisionRoadSequence,divisionSequence,gameTypeId,gamesPlayed,goalDifferential,goalDifferentialPctg,goalAgainst,goalFor,goalsForPctg,homeGamesPlayed,homeGoalDifferential,homeGoalsAgainst,homeGoalsFor,homeLosses,homeOtLosses,homePoints,homeRegulationPlusOtWins,homeRegulationWins,homeTies,homeWins,l10GamesPlayed,l10GoalDifferential,l10GoalsAgainst,l10GoalsFor,l10Losses,l10OtLosses,l10Points,l10RegulationPlusOtWins,l10RegulationWins,l10Ties,l10Wins,leagueHomeSequence,leagueL10Sequence,leagueRoadSequence,leagueSequence,losses,otLosses,placeName,pointPctg,points,regulationPlusOtWinPctg,regulationPlusOtWins,regulationWinPctg,regulationWins,roadGamesPlayed,roadGoalDifferential,roadGoalsAgainst,roadGoalsFor,roadLosses,roadOtLosses,roadPoints,roadRegulationPlusOtWins,roadRegulationWins,roadTies,roadWins,seasonId,shootoutLosses,shootoutWins,streakCode,streakCount,teamName,teamCommonName,teamAbbrev,teamLogo,ties,waiversSequence,wildcardSequence,winPctg,wins,team
0,0,0,0,2021-03-04,NTH,1,1,Scotia North,1,1,2,25,29,1.16,59,88,3.52,13,14,31,45,3,1,19,9,7,0,9,10,14,21,35,2,1,15,7,6,0,7,2,2,1,1,5,2,{'default': 'Toronto'},0.76,38,0.72,18,0.64,16,12,15,28,43,2,1,19,9,9,0,9,20202021,0,0,L,1,"{'default': 'Toronto Maple Leafs', 'fr': 'Maple Leafs de Toronto'}",{'default': 'Maple Leafs'},{'default': 'TOR'},https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,0,29,0,0.72,18,Maple Leafs
0,0,0,0,2021-03-04,CEN,1,1,Discover Central,3,1,2,21,33,1.571429,41,74,3.52381,10,25,17,42,1,0,18,9,9,0,9,10,11,21,32,3,0,14,7,6,0,7,4,4,8,2,4,1,{'default': 'Tampa Bay'},0.785714,33,0.761905,16,0.666667,14,11,8,24,32,3,1,15,7,5,0,7,20202021,0,0,W,6,"{'default': 'Tampa Bay Lightning', 'fr': 'Lightning de Tampa Bay'}",{'default': 'Lightning'},{'default': 'TBL'},https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,0,31,0,0.761905,16,Lightning
0,0,0,0,2021-03-04,CEN,3,3,Discover Central,1,2,2,23,19,0.826087,62,81,3.521739,9,15,20,35,1,1,15,6,5,0,7,10,5,26,31,3,1,13,5,4,0,6,9,10,3,3,6,1,"{'default': 'Carolina', 'fr': 'Caroline'}",0.717391,33,0.521739,12,0.434783,10,14,4,42,46,5,0,18,6,5,0,9,20202021,0,4,W,4,"{'default': 'Carolina Hurricanes', 'fr': 'Hurricanes de la Caroline'}",{'default': 'Hurricanes'},{'default': 'CAR'},https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,0,27,0,0.695652,16,Hurricanes
0,0,0,0,2021-03-04,CEN,2,2,Discover Central,2,3,2,22,8,0.363636,64,72,3.272727,13,-2,39,37,3,3,17,7,6,0,7,10,6,28,34,2,2,14,6,5,0,6,6,6,7,4,4,4,"{'default': 'Florida', 'fr': 'Floride'}",0.727273,32,0.590909,13,0.454545,10,9,10,25,35,1,1,15,6,4,0,7,20202021,2,1,W,1,"{'default': 'Florida Panthers', 'fr': 'Panthers de la Floride'}",{'default': 'Panthers'},{'default': 'FLA'},https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,0,28,0,0.636364,14,Panthers
0,0,0,0,2021-03-04,NTH,2,2,Scotia North,5,2,2,23,16,0.695652,62,78,3.391304,14,11,38,49,4,1,19,9,7,0,9,10,6,26,32,3,0,14,7,4,0,7,3,8,17,5,7,1,{'default': 'Winnipeg'},0.673913,31,0.652174,15,0.434783,10,9,5,24,29,3,0,12,6,3,0,6,20202021,1,0,W,2,"{'default': 'Winnipeg Jets', 'fr': 'Jets de Winnipeg'}",{'default': 'Jets'},{'default': 'WPG'},https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,0,23,0,0.652174,15,Jets
0,0,0,0,2021-03-04,EST,3,2,MassMutual East,2,1,2,22,5,0.227273,70,75,3.409091,12,2,40,42,3,2,16,6,5,0,7,10,6,25,31,2,1,15,6,6,0,7,8,3,12,6,5,4,{'default': 'Washington'},0.681818,30,0.5,11,0.454545,10,10,3,30,33,2,2,14,5,5,0,6,20202021,2,2,W,4,"{'default': 'Washington Capitals', 'fr': 'Capitals de Washington'}",{'default': 'Capitals'},{'default': 'WSH'},https://assets.nhle.com/logos/nhl/svg/WSH_light.svg,0,26,0,0.590909,13,Capitals
0,0,0,0,2021-03-04,EST,1,1,MassMutual East,4,2,2,23,11,0.478261,52,63,2.73913,10,16,20,36,0,2,18,8,8,0,8,10,12,19,31,2,1,15,7,7,0,7,5,1,18,7,6,4,{'default': 'NY Islanders'},0.652174,30,0.565217,13,0.565217,13,13,-5,32,27,6,2,12,5,5,0,5,20202021,1,0,W,3,"{'default': 'New York Islanders', 'fr': 'Islanders de New York'}",{'default': 'Islanders'},{'default': 'NYI'},https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,0,22,0,0.565217,13,Islanders
0,0,0,0,2021-03-04,WST,1,1,Honda West,6,1,2,19,20,1.052632,41,61,3.210526,13,17,30,47,2,1,21,10,8,0,10,10,10,19,29,3,0,14,7,5,0,7,1,5,24,8,4,1,{'default': 'Vegas'},0.763158,29,0.736842,14,0.578947,11,6,3,11,14,2,0,8,4,3,0,4,20202021,1,0,W,4,"{'default': 'Vegas Golden Knights', 'fr': 'Golden Knights de Vegas'}",{'default': 'Golden Knights'},{'default': 'VGK'},https://assets.nhle.com/logos/nhl/svg/VGK_light.svg,0,30,0,0.736842,14,Golden Knights
0,0,0,0,2021-03-04,CEN,5,4,Discover Central,4,4,2,24,4,0.166667,71,75,3.125,11,11,32,43,3,2,14,6,5,0,6,10,6,30,36,3,1,13,5,3,0,6,13,11,11,9,7,5,{'default': 'Chicago'},0.604167,29,0.458333,11,0.291667,7,13,-7,39,32,4,3,15,5,2,0,6,20202021,2,1,OT,1,"{'default': 'Chicago Blackhawks', 'fr': 'Blackhawks de Chicago'}",{'default': 'Blackhawks'},{'default': 'CHI'},https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,0,18,0,0.5,12,Blackhawks
0,0,0,0,2021-03-04,WST,5,5,Honda West,1,2,2,23,2,0.086957,73,75,3.26087,12,-8,40,32,6,2,10,4,3,0,4,10,2,30,32,4,0,12,6,4,0,6,24,16,2,10,8,2,{'default': 'St. Louis'},0.608696,28,0.521739,12,0.434783,10,11,10,33,43,2,0,18,8,7,0,9,20202021,2,1,W,3,"{'default': 'St. Louis Blues', 'fr': 'Blues de St. Louis'}",{'default': 'Blues'},{'default': 'STL'},https://assets.nhle.com/logos/nhl/svg/STL_light.svg,0,19,0,0.565217,13,Blues
