conferenceHomeSequence,conferenceL10Sequence,conferenceRoadSequence,conferenceSequence,date,divisionAbbrev,divisionHomeSequence,divisionL10Sequence,divisionName,divisionRoadSequence,divisionSequence,gameTypeId,gamesPlayed,goalDifferential,goalDifferentialPctg,goalAgainst,goalFor,goalsForPctg,homeGamesPlayed,homeGoalDifferential,homeGoalsAgainst,homeGoalsFor,homeLosses,homeOtLosses,homePoints,homeRegulationPlusOtWins,homeRegulationWins,homeTies,homeWins,l10GamesPlayed,l10GoalDifferential,l10GoalsAgainst,l10GoalsFor,l10Losses,l10OtLosses,l10Points,l10RegulationPlusOtWins,l10RegulationWins,l10Ties,l10Wins,leagueHomeSequence,leagueL10Sequence,leagueRoadSequence,leagueSequence,losses,otLosses,placeName,pointPctg,points,regulationPlusOtWinPctg,regulationPlusOtWins,regulationWinPctg,regulationWins,roadGamesPlayed,roadGoalDifferential,roadGoalsAgainst,roadGoalsFor,roadLosses,roadOtLosses,roadPoints,roadRegulationPlusOtWins,roadRegulationWins,roadTies,roadWins,seasonId,shootoutLosses,shootoutWins,streakCode,streakCount,teamName,teamCommonName,teamAbbrev,teamLogo,ties,waiversSequence,wildcardSequence,winPctg,wins,team
0,0,0,0,2021-02-15,NTH,1,1,Scotia North,2,1,2,16,14,0.875,44,58,3.625,9,11,23,34,2,1,13,6,5,0,6,10,12,27,39,1,2,16,7,7,0,7,2,2,5,1,3,2,{'default': 'Toronto'},0.75,24,0.6875,11,0.625,10,7,3,21,24,1,1,11,5,5,0,5,20202021,0,0,OT,1,"{'default': 'Toronto Maple Leafs', 'fr': 'Maple Leafs de Toronto'}",{'default': 'Maple Leafs'},{'default': 'TOR'},https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,0,26,0,0.6875,11,Maple Leafs
0,0,0,0,2021-02-15,EST,5,1,MassMutual East,1,1,2,14,12,0.857143,30,42,3.0,4,10,8,18,0,0,8,3,2,0,4,10,12,21,33,1,1,17,8,5,0,8,16,1,2,2,2,2,{'default': 'Boston'},0.785714,22,0.571429,8,0.357143,5,10,2,22,24,2,2,14,5,3,0,6,20202021,0,2,L,1,"{'default': 'Boston Bruins', 'fr': 'Bruins de Boston'}",{'default': 'Bruins'},{'default': 'BOS'},https://assets.nhle.com/logos/nhl/svg/BOS_20082009-20222023_light.svg,0,30,0,0.714286,10,Bruins
0,0,0,0,2021-02-15,WST,1,1,Honda West,7,1,2,13,13,1.0,28,41,3.153846,10,13,22,35,1,1,17,8,7,0,8,10,7,23,30,2,1,15,7,7,0,7,1,5,26,3,2,1,{'default': 'Vegas'},0.807692,21,0.769231,10,0.692308,9,3,0,6,6,1,0,4,2,2,0,2,20202021,1,0,W,2,"{'default': 'Vegas Golden Knights', 'fr': 'Golden Knights de Vegas'}",{'default': 'Golden Knights'},{'default': 'VGK'},https://assets.nhle.com/logos/nhl/svg/VGK_light.svg,0,31,0,0.769231,10,Golden Knights
0,0,0,0,2021-02-15,CEN,1,2,Discover Central,3,1,2,14,22,1.571429,32,54,3.857143,7,15,16,31,1,0,12,6,6,0,6,10,17,22,39,2,1,15,7,7,0,7,4,4,9,4,3,1,{'default': 'Tampa Bay'},0.75,21,0.714286,10,0.642857,9,7,7,16,23,2,1,9,4,3,0,4,20202021,0,0,L,1,"{'default': 'Tampa Bay Lightning', 'fr': 'Lightning de Tampa Bay'}",{'default': 'Lightning'},{'default': 'TBL'},https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,0,27,0,0.714286,10,Lightning
0,0,0,0,2021-02-15,CEN,3,3,Discover Central,2,2,2,13,4,0.307692,40,44,3.384615,8,0,26,26,2,1,11,5,4,0,5,10,-1,31,30,2,2,14,6,5,0,6,6,6,8,5,2,2,"{'default': 'Florida', 'fr': 'Floride'}",0.769231,20,0.615385,8,0.461538,6,5,4,14,18,0,1,9,3,2,0,4,20202021,1,1,W,1,"{'default': 'Florida Panthers', 'fr': 'Panthers de la Floride'}",{'default': 'Panthers'},{'default': 'FLA'},https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,0,29,0,0.692308,9,Panthers
0,0,0,0,2021-02-15,CEN,7,1,Discover Central,1,3,2,13,14,1.076923,36,50,3.846154,4,9,7,16,0,0,8,3,2,0,4,10,11,30,41,2,0,16,5,4,0,8,17,3,4,6,3,0,"{'default': 'Carolina', 'fr': 'Caroline'}",0.769231,20,0.538462,7,0.461538,6,9,5,29,34,3,0,12,4,4,0,6,20202021,0,3,W,3,"{'default': 'Carolina Hurricanes', 'fr': 'Hurricanes de la Caroline'}",{'default': 'Hurricanes'},{'default': 'CAR'},https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,0,28,0,0.769231,10,Hurricanes
0,0,0,0,2021-02-15,NTH,6,2,Scotia North,1,2,2,15,13,0.866667,39,52,3.466667,7,0,19,19,4,0,6,3,3,0,3,10,5,23,28,4,0,12,6,6,0,6,26,12,1,7,4,2,{'default': 'Montréal'},0.666667,20,0.6,9,0.6,9,8,13,20,33,0,2,14,6,6,0,6,20202021,1,0,W,1,"{'default': 'Montréal Canadiens', 'fr': 'Canadiens de Montréal'}",{'default': 'Canadiens'},{'default': 'MTL'},https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,0,24,0,0.6,9,Canadiens
0,0,0,0,2021-02-15,WST,4,3,Honda West,1,2,2,16,3,0.1875,49,52,3.25,8,-4,28,24,3,2,8,3,3,0,3,10,9,26,35,3,1,13,5,4,0,6,20,10,3,8,5,2,{'default': 'St. Louis'},0.625,20,0.5,8,0.4375,7,8,7,21,28,2,0,12,5,4,0,6,20202021,2,1,L,1,"{'default': 'St. Louis Blues', 'fr': 'Blues de St. Louis'}",{'default': 'Blues'},{'default': 'STL'},https://assets.nhle.com/logos/nhl/svg/STL_light.svg,0,21,0,0.5625,9,Blues
0,0,0,0,2021-02-15,CEN,2,4,Discover Central,4,4,2,17,-1,-0.058824,51,50,2.941176,8,9,22,31,2,1,11,5,4,0,5,10,4,25,29,2,2,14,6,2,0,6,5,8,11,9,5,4,{'default': 'Chicago'},0.588235,20,0.470588,8,0.235294,4,9,-10,29,19,3,3,9,3,0,0,3,20202021,2,0,W,2,"{'default': 'Chicago Blackhawks', 'fr': 'Blackhawks de Chicago'}",{'default': 'Blackhawks'},{'default': 'CHI'},https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,0,19,0,0.470588,8,Blackhawks
0,0,0,0,2021-02-15,NTH,2,5,Scotia North,5,3,2,15,10,0.666667,43,53,3.533333,10,8,28,36,3,1,13,6,5,0,6,10,4,30,34,4,1,11,5,5,0,5,3,15,17,10,5,1,{'default': 'Winnipeg'},0.633333,19,0.6,9,0.466667,7,5,2,15,17,2,0,6,3,2,0,3,20202021,1,0,W,1,"{'default': 'Winnipeg Jets', 'fr': 'Jets de Winnipeg'}",{'default': 'Jets'},{'default': 'WPG'},https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,0,23,0,0.6,9,Jets
