competitor_1,competitor_2,description,start_date,url,event_status,location
Chicago Blackhawks,Boston Bruins,"Boston Bruins vs Chicago Blackhawks on October 11, 2023","October 11, 2023",https://www.hockey-reference.com/boxscores/202310110BOS.html,https://schema.org/EventScheduled,TD Garden
Nashville Predators,Boston Bruins,"Boston Bruins vs Nashville Predators on October 14, 2023","October 14, 2023",https://www.hockey-reference.com/boxscores/202310140BOS.html,https://schema.org/EventScheduled,TD Garden
Boston Bruins,San Jose Sharks,"San Jose Sharks vs Boston Bruins on October 19, 2023","October 19, 2023",https://www.hockey-reference.com/boxscores/202310190SJS.html,https://schema.org/EventScheduled,SAP Center at San Jose
Boston Bruins,Los Angeles Kings,"Los Angeles Kings vs Boston Bruins on October 21, 2023","October 21, 2023",https://www.hockey-reference.com/boxscores/202310210LAK.html,https://schema.org/EventScheduled,Crypto.com Arena
Boston Bruins,Anaheim Ducks,"Anaheim Ducks vs Boston Bruins on October 22, 2023","October 22, 2023",https://www.hockey-reference.com/boxscores/202310220ANA.html,https://schema.org/EventScheduled,Honda Center
Boston Bruins,Chicago Blackhawks,"Chicago Blackhawks vs Boston Bruins on October 24, 2023","October 24, 2023",https://www.hockey-reference.com/boxscores/202310240CHI.html,https://schema.org/EventScheduled,United Center
Anaheim Ducks,Boston Bruins,"Boston Bruins vs Anaheim Ducks on October 26, 2023","October 26, 2023",https://www.hockey-reference.com/boxscores/202310260BOS.html,https://schema.org/EventScheduled,TD Garden
Detroit Red Wings,Boston Bruins,"Boston Bruins vs Detroit Red Wings on October 28, 2023","October 28, 2023",https://www.hockey-reference.com/boxscores/202310280BOS.html,https://schema.org/EventScheduled,TD Garden
Florida Panthers,Boston Bruins,"Boston Bruins vs Florida Panthers on October 30, 2023","October 30, 2023",https://www.hockey-reference.com/boxscores/202310300BOS.html,https://schema.org/EventScheduled,TD Garden
Toronto Maple Leafs,Boston Bruins,"Boston Bruins vs Toronto Maple Leafs on November 2, 2023","November 2, 2023",https://www.hockey-reference.com/boxscores/202311020BOS.html,https://schema.org/EventScheduled,TD Garden
