"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"169","Nikita Kucherov","T.B","R","81","1755.1666666667","44","100","62","38","144","82.76","306","14.38","32.59","635","458","267","87","6","44","22","11","11","0","0","22","96","62","42","73","35","2","2","50.00"
"286","Nathan MacKinnon","COL","C","82","1870.7666666667","51","89","50","39","140","74.87","405","12.59","34.82","692","526","337","103","29","45","42","17","16","0","1","32","82","42","49","80","69","607","707","46.19"
"381","Connor McDavid","EDM","C","76","1623.3","32","100","62","38","132","79.04","263","12.17","33.15","452","354","282","115","11","46","30","15","15","0","0","41","84","68","107","120","39","442","423","51.10"
"429","Artemi Panarin","NYR","L","82","1649.75","49","71","37","34","120","80.00","303","16.17","28.44","651","431","285","66","13","50","24","12","12","0","0","22","72","34","16","38","15","1","9","10.00"
"334","David Pastrnak","BOS","R","82","1634.2333333333","47","63","39","24","110","80.88","382","12.30","37.42","718","530","336","105","24","60","47","18","16","1","1","30","98","54","63","133","19","8","16","33.33"
"457","Auston Matthews","TOR","C","81","1698.2833333333","69","38","24","14","107","69.48","371","18.60","45.79","694","534","440","195","18","63","20","6","5","0","1","18","54","85","87","86","93","705","614","53.45"
"318","Leon Draisaitl","EDM","C","81","1676.3333333333","41","65","38","27","106","69.28","217","18.89","28.36","426","327","239","83","8","36","76","30","28","0","2","20","92","82","55","132","26","825","626","56.86"
"389","Mikko Rantanen","COL","R","80","1832.45","42","62","36","26","104","61.90","271","15.50","31.52","525","399","309","116","10","38","50","24","24","0","0","21","43","43","46","135","49","275","236","53.82"
"180","J.T. Miller","VAN","C","81","1578.6333333333","37","66","44","22","103","75.18","194","19.07","28.33","376","304","232","113","15","32","58","26","24","2","0","19","50","36","200","86","61","823","638","56.33"
"321","William Nylander","TOR","R","82","1632.9166666667","40","58","36","22","98","74.81","316","12.66","31.02","580","423","294","101","21","50","24","12","12","0","0","20","45","68","30","93","29","56","63","47.06"
"438","Kirill Kaprizov","MIN","L","75","1616.1666666667","46","50","33","17","96","70.59","278","16.55","36.23","582","414","317","137","14","60","36","17","17","0","0","25","73","38","50","76","38","0","1","0.00"
"12","Sidney Crosby","PIT","C","82","1637.5333333333","42","52","34","18","94","70.15","277","15.16","38.56","488","397","286","131","16","52","40","20","20","0","0","28","57","69","88","47","37","1081","779","58.12"
"211","Filip Forsberg","NSH","L","82","1550.25","48","46","25","21","94","72.31","347","13.83","36.6","700","499","314","130","18","70","43","20","19","1","0","30","80","76","130","82","44","11","11","50.00"
"317","Sam Reinhart","FLA","C","82","1664.5833333333","57","37","22","15","94","71.76","233","24.46","39.24","446","358","298","156","16","48","31","12","11","1","0","12","35","40","70","128","66","234","296","44.15"
"620","Quinn Hughes","VAN","D","82","2024.1666666667","17","75","35","40","92","56.79","199","8.54","11.45","540","298","166","10","8","54","38","19","19","0","0","17","52","43","29","115","55","0","0","-"
"346","Brayden Point","T.B","C","81","1623.1666666667","46","44","26","18","90","63.38","229","20.09","33.8","422","322","324","169","7","46","14","7","7","0","0","16","35","36","16","59","44","294","350","45.65"
"573","Cale Makar","COL","D","77","1907.2666666667","21","69","28","41","90","59.60","231","9.09","15.62","539","352","179","23","14","38","16","8","8","0","0","25","42","70","36","29","148","0","0","-"
"392","Sebastian Aho","CAR","C","78","1530.95","36","53","34","19","89","70.63","215","16.74","26.47","399","310","209","90","16","30","36","16","16","0","0","14","57","50","47","66","18","571","484","54.12"
"554","Elias Pettersson","VAN","C","82","1611.3333333333","34","55","31","24","89","64.49","207","16.43","28.48","402","301","215","90","15","33","12","6","6","0","0","28","30","50","111","116","68","406","393","50.81"
"454","Matthew Tkachuk","FLA","L","80","1491.2","26","62","43","19","88","68.75","280","9.29","36.54","500","394","284","177","6","57","88","33","29","2","2","50","62","39","139","71","28","3","6","33.33"
"559","Robert Thomas","STL","C","82","1719.25","26","60","35","25","86","74.14","170","15.29","22.6","326","243","199","79","8","24","48","20","19","0","1","17","54","70","14","77","47","876","773","53.12"
"61","Roman Josi","NSH","D","82","2019.75","23","62","38","24","85","57.43","269","8.55","16.29","602","380","211","25","8","53","45","21","20","1","0","15","60","33","41","112","151","0","0","-"
"418","Mitchell Marner","TOR","R","69","1468.0833333333","26","59","40","19","85","70.83","158","16.46","19.78","366","247","195","71","12","29","18","9","9","0","0","14","60","59","49","77","51","4","12","25.00"
"494","Jesper Bratt","N.J","L","82","1581.5666666667","27","56","36","20","83","62.88","248","10.89","28.59","448","350","289","119","23","39","12","6","6","0","0","19","45","39","55","66","33","8","14","36.36"
"623","Evan Bouchard","EDM","D","81","1862.7666666667","18","64","25","39","82","48.52","220","8.18","12.44","488","303","134","14","6","37","32","16","16","0","0","11","82","59","67","116","105","0","0","-"
"53","Steven Stamkos","T.B","C","79","1440.05","40","41","18","23","81","67.50","262","15.27","29.1","490","370","258","72","4","38","34","17","17","0","0","14","52","23","70","65","43","357","280","56.04"
"287","Aleksander Barkov","FLA","C","73","1433.4833333333","23","57","35","22","80","69.57","194","11.86","24.22","373","285","219","90","14","35","24","11","11","0","0","16","31","61","88","86","50","630","470","57.27"
