"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"551","A.J. Greer","BOS, CGY, N.J","L","27","1996-12-14","Joliette","QC","CAN","CAN","75","208","2015","COL","2","9","39"
"456","Aaron Ekblad","FLA","D","28","1996-02-07","Windsor","ON","CAN","CAN","76","215","2014","FLA","1","1","1"
"1162","Aatu Raty","NYI, VAN","C","21","2002-11-14","Oulu","","FIN","FIN","74","190","2021","NYI","2","20","52"
"1000","Adam Beckman","MIN","L","23","2001-05-10","Saskatoon","SK","CAN","CAN","74","182","2019","MIN","3","13","75"
"916","Adam Boqvist","CBJ","D","23","2000-08-15","Falun","","SWE","SWE","72","182","2018","CHI","1","8","8"
"636","Adam Brooks","MTL, VGK, WPG","C","28","1996-05-06","Winnipeg","MB","CAN","CAN","72","179","2016","TOR","4","1","92"
"1056","Adam Edstrom","NYR","C","23","2000-10-12","","","SWE","SWE","79","220","2019","NYR","6","6","161"
"406","Adam Erne","DET, EDM","L","29","1995-04-20","New Haven","CT","USA","USA","73","212","2013","T.B","2","3","33"
"1242","Adam Fantilli","CBJ","C","19","2004-10-12","","","CAN","","74","194","2023","CBJ","1","3","3"
"652","Adam Fox","NYR","D","26","1998-02-17","Jericho","NY","USA","USA","71","182","2016","CGY","3","5","66"
"623","Adam Gaudette","CHI, OTT, STL","C","27","1996-10-03","Braintree","MA","USA","USA","73","194","2015","VAN","5","28","149"
"918","Adam Ginning","PHI","D","24","2000-01-13","Linkoping","","SWE","SWE","75","188","2018","PHI","2","19","50"
"117","Adam Henrique","ANA, EDM","C","34","1990-02-06","Brantford","ON","CAN","CAN","72","195","2008","N.J","3","21","82"
"1229","Adam Klapka","CGY","R","23","2000-09-14","Praha","","CZE","CZE","80","235","-","-","-","-","-"
"271","Adam Larsson","SEA","D","31","1992-11-12","Skellefteå","","SWE","SWE","75","209","2011","N.J","1","4","4"
"246","Adam Lowry","WPG","C, L","31","1993-03-29","St. Louis","MO","USA","USA","78","208","2011","WPG","3","6","67"
"332","Adam Pelech","NYI","D","29","1994-08-16","Toronto","ON","CAN","CAN","75","210","2012","NYI","3","4","65"
"1125","Adam Raska","MIN, S.J","R","22","2001-09-25","Frydek-Mistek","","CZE","CZE","70","178","2020","S.J","7","15","201"
