Player,Team,Position,Age,draft_year,draft_team,draft_round,round_pick,overall_pick
A.J. Greer,N.J,L,27,2015,COL,2,9,39
Aaron Ekblad,FLA,D,28,2014,FLA,1,1,1
Adam Beckman,MIN,L,23,2019,MIN,3,13,75
Adam Boqvist,CBJ,D,23,2018,CHI,1,8,8
Adam Brooks,"MTL, VGK, WPG",C,28,2016,TOR,4,1,92
Adam Erne,DET,L,29,2013,T.B,2,3,33
Adam Fox,NYR,D,26,2016,CGY,3,5,66
Adam Gaudette,"CHI, OTT",C,27,2015,VAN,5,28,149
Adam Henrique,ANA,C,34,2008,N.J,3,21,82
Adam Larsson,SEA,D,31,2011,N.J,1,4,4
Adam Lowry,WPG,"C, L",31,2011,WPG,3,6,67
Adam Pelech,NYI,D,29,2012,NYI,3,4,65
Adam Raska,S.J,R,22,2020,S.J,7,15,201
Adam Ruzicka,CGY,C,25,2017,CGY,4,16,109
Adrian Kempe,L.A,"C, L",27,2014,L.A,1,29,29
Alec Martinez,VGK,D,36,2007,L.A,4,4,95
Alec Regula,CHI,D,23,2018,DET,3,5,67
Aleksander Barkov,FLA,C,28,2013,FLA,1,2,2
Aleksi Heponiemi,FLA,C,25,2017,FLA,2,9,40
Alex Barré-Boulet,"SEA, T.B",C,27,-,-,-,-,-
Alex Belzile,MTL,R,32,-,-,-,-,-
Alex Biega,TOR,D,36,2006,BUF,5,24,147
Alex Chiasson,VAN,R,33,2009,DAL,2,8,38
Alex DeBrincat,CHI,L,26,2016,CHI,2,9,39
Alex Formenton,OTT,L,24,2017,OTT,2,16,47
Alex Galchenyuk,ARI,C,30,2012,MTL,1,3,3
Alex Goligoski,MIN,D,38,2004,PIT,2,31,61
Alex Iafallo,L.A,L,30,-,-,-,-,-
Alex Killorn,T.B,"C, L",34,2007,T.B,3,16,77
Alex Newhook,COL,C,23,2019,COL,1,16,16
Alex Ovechkin,WSH,L,38,2004,WSH,1,1,1
Alex Pietrangelo,VGK,D,34,2008,STL,1,4,4
Alex Steeves,TOR,C,24,-,-,-,-,-
Alex Tuch,BUF,R,28,2014,MIN,1,18,18
Alex Turcotte,L.A,C,23,2019,L.A,1,5,5
Alex Vlasic,CHI,D,23,2019,CHI,2,12,43
Alex Wennberg,SEA,C,29,2013,CBJ,1,14,14
Alexander Alexeyev,WSH,D,24,2018,WSH,1,31,31
Alexander Barabanov,S.J,L,29,-,-,-,-,-
Alexander Edler,L.A,D,38,2004,VAN,3,26,91
Alexander Holtz,N.J,R,22,2020,N.J,1,7,7
Alexander Kerfoot,TOR,C,29,2012,N.J,5,29,150
Alexander Radulov,DAL,R,37,2004,NSH,1,15,15
Alexander Romanov,MTL,D,24,2018,MTL,2,7,38
Alexander True,SEA,C,26,-,-,-,-,-
Alexandre Carrier,NSH,D,27,2015,NSH,4,24,115
Alexandre Texier,CBJ,C,24,2017,CBJ,2,14,45
Alexei Toropchenko,STL,R,24,2017,STL,4,20,113
Alexis Lafrenière,NYR,L,22,2020,NYR,1,1,1
Aliaksei Protas,WSH,C,23,2019,WSH,3,29,91
Anders Bjork,BUF,L,27,2014,BOS,5,26,146
Anders Lee,NYI,"C, L",33,2009,NYI,6,1,152
Andre Burakovsky,COL,L,29,2013,WSH,1,23,23
Andreas Athanasiou,L.A,C,29,2012,DET,4,19,110
Andreas Johnsson,N.J,L,29,2013,TOR,7,21,202
Andrei Svechnikov,CAR,R,24,2018,CAR,1,2,2
Andrej Sekera,DAL,D,38,2004,BUF,3,6,71
Andrej Sustr,"ANA, T.B",D,33,-,-,-,-,-
Andrew Agozzino,OTT,L,33,-,-,-,-,-
Andrew Cogliano,"COL, S.J",C,37,2005,EDM,1,25,25
Andrew Copp,"NYR, WPG",C,29,2013,WPG,4,13,104
Andrew Ladd,ARI,L,38,2004,CAR,1,4,4
Andrew Mangiapane,CGY,L,28,2015,CGY,6,15,166
Andrew Peeke,CBJ,D,26,2016,CBJ,2,4,34
Andrew Poturalski,CAR,C,30,-,-,-,-,-
Andy Andreoff,NYI,C,33,2011,L.A,3,19,80
Andy Greene,NYI,D,41,-,-,-,-,-
Anthony Angello,PIT,R,28,2014,PIT,5,25,145
Anthony Beauvillier,NYI,L,27,2015,NYI,1,28,28
Anthony Cirelli,T.B,C,26,2015,T.B,3,11,72
Anthony Duclair,FLA,L,28,2013,NYR,3,19,80
Anthony Greco,NYR,R,30,-,-,-,-,-
Anthony Mantha,WSH,R,29,2013,DET,1,20,20
Antoine Roussel,ARI,L,34,-,-,-,-,-
