,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
390,A.J. Greer,CGY,L,27,12/14/1996,Joliette,QC,CAN,CAN,75,208,2015,COL,2,9,39
316,Aaron Ekblad,FLA,D,28,2/7/1996,Windsor,ON,CAN,CAN,76,215,2014,FLA,1,1,1
711,Adam Beckman,MIN,L,23,5/10/2001,Saskatoon,SK,CAN,CAN,74,182,2019,MIN,3,13,75
646,Adam Boqvist,CBJ,D,23,8/15/2000,Falun,,SWE,SWE,72,182,2018,CHI,1,8,8
755,Adam Edstrom,NYR,C,23,10/12/2000,,,SWE,SWE,79,220,2019,NYR,6,6,161
275,Adam Erne,EDM,L,29,4/20/1995,New Haven,CT,USA,USA,73,212,2013,T.B,2,3,33
912,Adam Fantilli,CBJ,C,19,10/12/2004,,,CAN,,74,194,2023,CBJ,1,3,3
460,Adam Fox,NYR,D,26,2/17/1998,Jericho,NY,USA,USA,71,182,2016,CGY,3,5,66
440,Adam Gaudette,STL,C,27,10/3/1996,Braintree,MA,USA,USA,73,194,2015,VAN,5,28,149
648,Adam Ginning,PHI,D,24,1/13/2000,Linkoping,,SWE,SWE,75,188,2018,PHI,2,19,50
65,Adam Henrique,"ANA, EDM",C,34,2/6/1990,Brantford,ON,CAN,CAN,72,195,2008,N.J,3,21,82
902,Adam Klapka,CGY,R,23,9/14/2000,Praha,,CZE,CZE,80,235,-,-,-,-,-
172,Adam Larsson,SEA,D,31,11/12/1992,Skellefteå,,SWE,SWE,75,209,2011,N.J,1,4,4
158,Adam Lowry,WPG,C,31,3/29/1993,St. Louis,MO,USA,USA,78,208,2011,WPG,3,6,67
222,Adam Pelech,NYI,D,29,8/16/1994,Toronto,ON,CAN,CAN,75,210,2012,NYI,3,4,65
815,Adam Raska,MIN,R,22,9/25/2001,Frydek-Mistek,,CZE,CZE,70,178,2020,S.J,7,15,201
551,Adam Ruzicka,"ARI, CGY",C,25,5/11/1999,Bratislava,,SVK,SVK,76,215,2017,CGY,4,16,109
335,Adrian Kempe,L.A,R,27,9/13/1996,Kramfors,,SWE,SWE,74,200,2014,L.A,1,29,29
640,Akil Thomas,L.A,C,24,1/2/2000,Toronto,ON,CAN,CAN,72,171,2018,L.A,2,20,51
