"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"939","Cameron Butler","CBJ","R","1","0.9","2","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.03","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","5","0","100.00","0","0","-","0.00","-","0.00","1","0","0","0","100.00","3","0","0","100.00"
"583","Cale Fleury","SEA","D","1","13.5","20","5","80.00","16","4","80.00","8","3","72.73","1","0","100.00","0.88","0.21","80.59","11","3","78.57","2","1","66.67","1","0","100.00","9","2","81.82","0","0","-","14","2","87.50","0","0","-","12.50","100.00","1.125","2","1","0","14","100.00","8","3","0","100.00"
"265","Jayson Megna","BOS","C","1","11.75","13","4","76.47","8","4","66.67","6","4","60.00","0","0","-","0.31","0.17","63.87","5","3","62.50","1","1","50.00","0","0","-","4","2","66.67","0","0","-","7","0","100.00","0","0","-","0.00","100.00","1.000","0","1","1","13","0.00","0","2","1","0.00"
"988","Ondrej Pavel","COL","C","2","12.2","15","5","75.00","9","3","75.00","6","3","66.67","0","1","0.00","0.68","0.11","86.01","8","1","88.89","3","0","100.00","0","0","-","5","1","83.33","0","0","-","7","3","70.00","0","1","0.00","0.00","66.67","0.667","1","4","0","15","100.00","3","6","1","75.00"
"866","Mavrik Bourque","DAL","C","1","10.933333333333","20","7","74.07","13","5","72.22","7","4","63.64","0","0","-","0.66","0.2","77.02","6","3","66.67","3","1","75.00","0","0","-","3","2","60.00","0","0","-","14","6","70.00","0","0","-","0.00","100.00","1.000","2","4","3","8","40.00","4","4","3","57.14"
"759","Kirby Dach","MTL","C","2","26.033333333333","33","14","70.21","23","13","63.89","17","11","60.71","3","0","100.00","1.38","0.55","71.61","15","5","75.00","7","4","63.64","2","0","100.00","8","1","88.89","1","0","100.00","17","8","68.00","0","0","-","17.65","100.00","1.176","5","7","1","14","83.33","10","9","4","71.43"
"989","Cole McWard","VAN","D","1","9.0833333333333","9","4","69.23","4","4","50.00","2","2","50.00","0","0","-","0.31","0.29","51.13","2","3","40.00","1","2","33.33","0","0","-","1","1","50.00","0","0","-","8","1","88.89","0","0","-","0.00","100.00","1.000","1","1","0","10","100.00","3","1","1","75.00"
"984","Bradly Nadeau","CAR","L","1","19.133333333333","22","10","68.75","17","8","68.00","11","5","68.75","0","3","0.00","1.03","0.46","69.08","10","5","66.67","3","3","50.00","0","1","0.00","7","2","77.78","0","1","0.00","11","4","73.33","0","1","0.00","0.00","40.00","0.400","1","1","3","17","25.00","2","4","3","40.00"
"539","Brett Murray","BUF","L","2","15.933333333333","10","5","66.67","8","5","61.54","8","2","80.00","0","1","0.00","0.31","0.14","69.44","3","2","60.00","1","0","100.00","0","0","-","2","2","50.00","0","1","0.00","10","4","71.43","0","0","-","0.00","50.00","0.500","4","4","0","15","100.00","8","5","2","80.00"
"493","Matthew Tkachuk","FLA","L","80","1491.2","2222","1141","66.07","1558","900","63.38","1077","657","62.11","128","60","68.09","131.06","60.38","68.46","1180","524","69.25","529","233","69.42","62","28","68.89","651","291","69.11","42","23","64.62","1288","638","66.87","19","4","82.61","11.88","90.87","1.028","369","288","143","949","72.07","747","399","294","71.76"
"847","Vasily Ponomarev","CAR","C","2","19.35","29","15","65.91","20","11","64.52","12","7","63.16","2","1","66.67","1.8","0.66","73.20","18","9","66.67","7","2","77.78","1","0","100.00","11","7","61.11","1","1","50.00","12","6","66.67","0","0","-","16.67","85.71","1.024","2","1","2","16","50.00","5","3","3","62.50"
"144","Zach Hyman","EDM","L","80","1560.0333333333","2221","1183","65.25","1653","864","65.67","1174","633","64.97","157","69","69.47","145.12","65.58","68.88","1219","597","67.13","551","214","72.03","87","30","74.36","668","383","63.56","41","24","63.08","1329","618","68.26","27","7","79.41","13.37","89.10","1.025","415","257","139","808","74.91","837","362","334","71.48"
"287","Carter Verhaeghe","FLA","C","76","1365.15","1961","1057","64.98","1384","830","62.51","974","586","62.44","113","55","67.26","109.76","53.53","67.22","1013","453","69.10","431","196","68.74","55","24","69.62","582","257","69.37","37","22","62.71","1161","633","64.72","18","5","78.26","11.60","90.61","1.022","347","282","140","857","71.25","660","383","293","69.25"
"282","Jake Guentzel","CAR","C, L","17","297.48333333333","410","222","64.87","306","161","65.52","210","114","64.81","34","6","85.00","26.26","9.9","72.63","202","95","68.01","83","36","69.75","12","4","75.00","119","59","66.85","14","1","93.33","262","125","67.70","7","0","100.00","16.19","94.74","1.109","74","52","28","195","72.55","142","75","64","68.93"
"199","Stefan Noesen","CAR","R","81","960.91666666667","1210","656","64.84","864","478","64.38","567","330","63.21","60","27","68.97","58.73","30.48","65.83","533","294","64.45","218","131","62.46","32","12","72.73","315","163","65.90","18","12","60.00","787","386","67.09","10","3","76.92","10.58","91.82","1.024","241","207","90","784","72.81","421","292","213","66.40"
"929","Nikita Chibrikov","WPG","R","1","11.05","11","6","64.71","7","3","70.00","6","3","66.67","1","1","50.00","0.67","0.22","75.02","4","4","50.00","1","3","25.00","0","1","0.00","3","1","75.00","1","0","100.00","8","2","80.00","0","0","-","16.67","66.67","0.833","6","0","1","8","85.71","7","1","2","77.78"
"678","Evan Bouchard","EDM","D","81","1862.7666666667","2480","1353","64.70","1850","1014","64.59","1316","734","64.20","169","78","68.42","154.16","76.5","66.83","1332","675","66.37","590","271","68.52","96","39","71.11","742","404","64.75","38","23","62.30","1511","729","67.46","33","8","80.49","12.84","89.37","1.022","371","292","183","959","66.97","931","459","421","68.86"
"779","Matt Boldy","MIN","L","75","1416.1666666667","1949","1074","64.47","1428","777","64.76","994","530","65.22","109","58","65.27","114.78","48.12","70.46","1035","484","68.14","444","180","71.15","48","21","69.57","591","304","66.03","34","17","66.67","1145","633","64.40","26","17","60.47","10.97","89.06","1.000","343","291","154","647","69.01","704","409","314","69.16"
"415","Connor McDavid","EDM","C","76","1623.3","2242","1237","64.44","1673","933","64.20","1195","682","63.67","167","82","67.07","146.79","70.14","67.67","1256","624","66.81","549","240","69.58","93","36","72.09","707","384","64.80","42","28","60.00","1324","676","66.20","29","10","74.36","13.97","87.98","1.020","383","261","153","823","71.46","836","401","371","69.26"
"124","Tyler Toffoli","N.J","R","61","1069.6333333333","1530","851","64.26","1065","663","61.63","751","467","61.66","85","63","57.43","84.44","57.94","59.30","767","409","65.22","299","177","62.82","36","31","53.73","468","232","66.86","34","21","61.82","929","404","69.69","13","7","65.00","11.32","86.51","0.978","284","179","68","828","80.68","552","274","158","77.75"
"468","Artemi Panarin","NYR","L","82","1649.75","2344","1306","64.22","1723","985","63.63","1160","706","62.17","150","73","67.26","134.89","73.56","64.71","1188","644","64.85","482","261","64.87","64","44","59.26","706","383","64.83","46","18","71.88","1467","576","71.81","36","6","85.71","12.93","89.66","1.026","384","246","44","1109","89.72","807","369","139","85.31"
"686","Andrei Svechnikov","CAR","R","59","1001.8","1399","785","64.06","1003","616","61.95","654","440","59.78","76","34","69.09","76.32","43.3","63.80","651","362","64.26","258","156","62.32","37","16","69.81","393","206","65.61","24","12","66.67","910","433","67.76","12","4","75.00","11.62","92.27","1.039","256","157","117","668","68.63","500","239","249","66.76"
"977","Andrei Kuzmenko","VAN","L","43","617.11666666667","786","447","63.75","571","343","62.47","385","259","59.78","51","28","64.56","45.98","22.25","67.39","414","209","66.45","184","93","66.43","22","13","62.86","230","116","66.47","13","12","52.00","473","241","66.25","16","3","84.21","13.25","89.19","1.024","174","82","42","463","80.56","280","115","98","74.07"
