conferenceName,conferenceSequence,divisionName,divisionSequence,gamesPlayed,goalDifferential,goalDifferentialPctg,goalAgainst,goalFor,goalsForPctg,pointPctg,points,regulationPlusOtWinPctg,regulationPlusOtWins,regulationWinPctg,regulationWins,streakCode,streakCount,winPctg,team
Western,1,Central,1,13,16,1.230769,28,44,3.384615,0.884615,23,0.692308,9,0.538462,7,OT,1,0.769231,Blackhawks
Western,2,Pacific,1,12,9,0.75,33,42,3.5,0.791667,19,0.5,6,0.5,6,W,2,0.75,Ducks
Eastern,1,Atlantic,1,13,7,0.538462,28,35,2.692308,0.730769,19,0.615385,8,0.538462,7,L,1,0.615385,Devils
Eastern,2,Northeast,1,11,7,0.636364,25,32,2.909091,0.818182,18,0.545455,6,0.545455,6,OT,1,0.727273,Bruins
Western,3,Northwest,1,12,10,0.833333,25,35,2.916667,0.75,18,0.5,6,0.416667,5,W,6,0.666667,Canucks
Eastern,4,Atlantic,2,14,11,0.785714,34,45,3.214286,0.642857,18,0.571429,8,0.571429,8,W,1,0.642857,Penguins
Western,4,Pacific,2,13,7,0.538462,29,36,2.769231,0.653846,17,0.384615,5,0.384615,5,OT,1,0.538462,Sharks
Eastern,5,Northeast,2,13,6,0.461538,33,39,3.0,0.615385,16,0.615385,8,0.538462,7,W,4,0.615385,Maple Leafs
Western,5,Central,2,13,0,0.0,36,36,2.769231,0.615385,16,0.461538,6,0.461538,6,OT,1,0.538462,Red Wings
Western,6,Central,3,13,-1,-0.076923,26,25,1.923077,0.615385,16,0.307692,4,0.230769,3,W,1,0.461538,Predators
Eastern,6,Northeast,3,14,8,0.571429,27,35,2.5,0.571429,16,0.5,7,0.5,7,L,1,0.5,Senators
Eastern,3,Southeast,1,12,2,0.166667,36,38,3.166667,0.625,15,0.583333,7,0.5,6,W,2,0.583333,Hurricanes
Eastern,7,Northeast,4,12,2,0.166667,33,35,2.916667,0.625,15,0.5,6,0.416667,5,W,1,0.583333,Canadiens
Western,7,Central,4,13,0,0.0,43,43,3.307692,0.576923,15,0.461538,6,0.307692,4,W,1,0.538462,Blues
Western,8,Pacific,3,14,-2,-0.142857,36,34,2.428571,0.535714,15,0.428571,6,0.357143,5,L,1,0.5,Stars
Eastern,8,Atlantic,3,12,3,0.25,30,33,2.75,0.583333,14,0.5,6,0.416667,5,W,3,0.583333,Rangers
Western,9,Pacific,4,13,0,0.0,35,35,2.692308,0.538462,14,0.384615,5,0.307692,4,W,2,0.461538,Coyotes
Eastern,9,Southeast,2,12,10,0.833333,36,46,3.833333,0.541667,13,0.5,6,0.5,6,OT,1,0.5,Lightning
Western,10,Northwest,2,13,-5,-0.384615,34,29,2.230769,0.5,13,0.307692,4,0.153846,2,L,1,0.384615,Oilers
Western,11,Northwest,3,13,-5,-0.384615,32,27,2.076923,0.5,13,0.307692,4,0.230769,3,L,1,0.461538,Wild
Eastern,10,Atlantic,4,14,-6,-0.428571,40,34,2.428571,0.464286,13,0.428571,6,0.357143,5,W,1,0.428571,Flyers
Western,12,Northwest,4,11,-6,-0.545455,39,33,3.0,0.5,11,0.363636,4,0.272727,3,W,1,0.363636,Flames
Eastern,11,Southeast,3,12,-8,-0.666667,40,32,2.666667,0.458333,11,0.416667,5,0.25,3,L,1,0.416667,Jets
Eastern,12,Northeast,5,14,-9,-0.642857,48,39,2.785714,0.392857,11,0.285714,4,0.285714,4,L,2,0.357143,Sabres
Western,13,Pacific,5,11,-6,-0.545455,32,26,2.363636,0.454545,10,0.272727,3,0.272727,3,W,1,0.363636,Kings
Eastern,13,Southeast,4,12,-16,-1.333333,46,30,2.5,0.416667,10,0.25,3,0.25,3,OT,1,0.333333,Panthers
Western,14,Central,5,13,-11,-0.846154,41,30,2.307692,0.384615,10,0.230769,3,0.230769,3,W,1,0.307692,Blue Jackets
Western,15,Northwest,5,11,-6,-0.545455,29,23,2.090909,0.409091,9,0.363636,4,0.363636,4,OT,1,0.363636,Avalanche
Eastern,14,Atlantic,5,12,-7,-0.583333,43,36,3.0,0.375,9,0.333333,4,0.25,3,L,5,0.333333,Islanders
Eastern,15,Southeast,5,13,-10,-0.769231,46,36,2.769231,0.346154,9,0.307692,4,0.230769,3,W,2,0.307692,Capitals
